size,omega0
1250,522.86
1251,523.208
1252,522.904
1253,524.304
1254,523.864
1255,524.9
1256,524.74
1257,526.168
1258,526.044
1259,526.492
1260,527.78
1261,528.088
1262,527.36
1263,528.476
1264,529.052
1265,529.792
1266,529.82
1267,530.788
1268,530.84
1269,531.952
1270,533.032
1271,532.316
1272,533.172
1273,533.776
1274,534.188
1275,535.02
1276,535.44
1277,535.384
1278,536.048
1279,537.064
1280,537.092
1281,537.868
1282,538.524
1283,539.616
1284,539.076
1285,539.856
1286,539.908
1287,540.656
1288,541.272
1289,542.068
1290,542.184
1291,542.84
1292,543.052
1293,544.428
1294,543.976
1295,545.248
1296,545.1
1297,546.668
1298,547.0
1299,546.728
1300,546.688
1301,547.068
1302,548.664
1303,549.42
1304,549.636
1305,549.932
1306,550.236
1307,551.428
1308,551.132
1309,551.712
1310,552.128
1311,552.716
1312,552.66
1313,554.064
1314,554.376
1315,555.14
1316,555.5
1317,555.592
1318,556.304
1319,555.868
1320,557.488
1321,557.592
1322,558.164
1323,558.716
1324,559.104
1325,559.832
1326,559.564
1327,559.76
1328,560.676
1329,561.132
1330,561.864
1331,562.564
1332,563.392
1333,563.668
1334,564.252
1335,564.388
1336,564.884
1337,565.52
1338,565.648
1339,566.804
1340,567.284
1341,567.8
1342,568.396
1343,567.884
1344,569.124
1345,570.256
1346,569.548
1347,570.5
1348,570.924
1349,571.876
1350,572.552
1351,572.048
1352,572.8
1353,573.76
1354,573.892
1355,574.364
1356,575.16
1357,575.708
1358,576.404
1359,576.508
1360,576.78
1361,577.952
1362,578.44
1363,578.432
1364,578.756
1365,579.128
1366,580.992
1367,580.68
1368,581.0
1369,581.344
1370,582.484
1371,582.352
1372,583.016
1373,583.172
1374,583.26
1375,584.296
1376,585.072
1377,585.124
1378,586.24
1379,586.628
1380,587.384
1381,587.768
1382,587.508
1383,588.544
1384,589.692
1385,590.276
1386,590.08
1387,589.304
1388,590.564
1389,591.208
1390,591.252
1391,592.776
1392,593.512
1393,593.94
1394,593.9
1395,594.252
1396,595.012
1397,596.296
1398,595.64
1399,596.696
1400,597.28
1401,597.224
1402,598.188
1403,598.484
1404,599.084
1405,599.156
1406,599.176
1407,601.02
1408,600.92
1409,601.68
1410,601.324
1411,603.028
1412,603.188
1413,603.036
1414,603.3
1415,604.476
1416,605.716
1417,605.732
1418,606.124
1419,606.4
1420,607.268
1421,607.344
1422,608.396
1423,608.12
1424,609.316
1425,610.04
1426,610.14
1427,610.472
1428,610.96
1429,611.792
1430,611.548
1431,611.892
1432,612.964
1433,613.588
1434,614.604
1435,614.5
1436,614.42
1437,615.404
1438,615.536
1439,616.48
1440,617.124
1441,617.9
1442,618.16
1443,618.624
1444,619.732
1445,619.296
1446,619.664
1447,621.252
1448,621.48
1449,621.72
1450,621.244
1451,621.68
1452,623.24
1453,622.772
1454,624.616
1455,625.156
1456,625.596
1457,625.648
1458,626.808
1459,627.184
1460,627.416
1461,627.804
1462,628.228
1463,628.124
1464,628.644
1465,629.608
1466,629.964
1467,630.868
1468,631.38
1469,631.24
1470,632.576
1471,632.524
1472,633.052
1473,633.592
1474,634.684
1475,634.88
1476,635.388
1477,635.568
1478,636.356
1479,636.872
1480,636.796
1481,637.496
1482,638.68
1483,638.736
1484,639.18
1485,639.4
1486,639.868
1487,640.948
1488,641.664
1489,641.6
1490,642.904
1491,641.876
1492,643.416
1493,643.872
1494,644.26
1495,644.888
1496,645.624
1497,646.12
1498,646.212
1499,646.72
1500,646.948
1501,647.785
1502,648.225
1503,648.4
1504,648.185
1505,650.05
1506,650.735
1507,650.295
1508,651.935
1509,650.695
1510,652.53
1511,652.53
1512,653.29
1513,653.69
1514,654.86
1515,654.57
1516,655.905
1517,656.535
1518,656.645
1519,656.775
1520,657.25
1521,658.3
1522,658.78
1523,658.235
1524,659.4
1525,660.195
1526,660.27
1527,660.08
1528,661.68
1529,661.045
1530,662.87
1531,662.35
1532,663.01
1533,663.905
1534,664.445
1535,665.145
1536,665.475
1537,665.705
1538,666.925
1539,666.315
1540,667.055
1541,667.695
1542,668.02
1543,668.795
1544,669.96
1545,669.175
1546,671.515
