size,omega0
1098,297.3814162
1099,297.7418745
1100,298.1024143
1101,298.4630354
1102,298.8237378
1103,299.1845214
1104,299.5453861
1105,299.9063318
1106,300.2673584
1107,300.6284658
1108,300.9896539
1109,301.3509227
1110,301.7122719
1111,302.0737016
1112,302.4352116
1113,302.7968019
1114,303.1584723
1115,303.5202227
1116,303.8820531
1117,304.2439634
1118,304.6059534
1119,304.9680231
1120,305.3301724
1121,305.6924012
1122,306.0547093
1123,306.4170968
1124,306.7795634
1125,307.1421092
1126,307.504734
1127,307.8674376
1128,308.2302202
1129,308.5930814
1130,308.9560213
1131,309.3190397
1132,309.6821366
1133,310.0453118
1134,310.4085653
1135,310.7718969
1136,311.1353066
1137,311.4987943
1138,311.8623598
1139,312.2260032
1140,312.5897242
1141,312.9535229
1142,313.317399
1143,313.6813525
1144,314.0453834
1145,314.4094915
1146,314.7736767
1147,315.1379389
1148,315.5022781
1149,315.8666941
1150,316.2311868
1151,316.5957562
1152,316.9604022
1153,317.3251246
1154,317.6899234
1155,318.0547985
1156,318.4197497
1157,318.7847771
1158,319.1498804
1159,319.5150596
1160,319.8803147
1161,320.2456454
1162,320.6110518
1163,320.9765336
1164,321.3420909
1165,321.7077236
1166,322.0734315
1167,322.4392145
1168,322.8050725
1169,323.1710055
1170,323.5370134
1171,323.903096
1172,324.2692534
1173,324.6354852
1174,325.0017916
1175,325.3681724
1176,325.7346274
1177,326.1011566
1178,326.46776
1179,326.8344374
1180,327.2011886
1181,327.5680137
1182,327.9349125
1183,328.301885
1184,328.668931
1185,329.0360504
1186,329.4032432
1187,329.7705092
1188,330.1378484
1189,330.5052607
1190,330.8727459
1191,331.2403041
1192,331.607935
1193,331.9756385
1194,332.3434147
1195,332.7112634
1196,333.0791845
1197,333.4471779
1198,333.8152435
1199,334.1833812
1200,334.551591
1201,334.9198727
1202,335.2882262
1203,335.6566515
1204,336.0251484
1205,336.3937169
1206,336.7623568
1207,337.1310681
1208,337.4998507
1209,337.8687045
1210,338.2376293
1211,338.6066252
1212,338.9756919
1213,339.3448294
1214,339.7140377
1215,340.0833165
1216,340.4526659
1217,340.8220857
1218,341.1915758
1219,341.5611361
1220,341.9307666
1221,342.3004672
1222,342.6702376
1223,343.040078
1224,343.4099881
1225,343.7799679
1226,344.1500172
1227,344.520136
1228,344.8903243
1229,345.2605818
1230,345.6309085
1231,346.0013043
1232,346.3717691
1233,346.7423028
1234,347.1129053
1235,347.4835766
1236,347.8543165
1237,348.2251249
1238,348.5960018
1239,348.966947
1240,349.3379605
1241,349.7090421
1242,350.0801918
1243,350.4514094
1244,350.822695
1245,351.1940483
1246,351.5654693
1247,351.9369579
1248,352.3085139
1249,352.6801374
1250,353.0518282
1251,353.4235862
1252,353.7954114
1253,354.1673035
1254,354.5392626
1255,354.9112885
1256,355.2833812
1257,355.6555405
1258,356.0277664
1259,356.4000587
1260,356.7724174
1261,357.1448423
1262,357.5173335
1263,357.8898907
1264,358.2625139
1265,358.635203
1266,359.0079579
1267,359.3807785
1268,359.7536647
1269,360.1266164
1270,360.4996335
1271,360.872716
1272,361.2458637
1273,361.6190765
1274,361.9923544
1275,362.3656972
1276,362.7391049
1277,363.1125773
1278,363.4861144
1279,363.8597161
1280,364.2333823
1281,364.6071128
1282,364.9809076
1283,365.3547666
1284,365.7286898
1285,366.1026769
1286,366.4767279
1287,366.8508428
1288,367.2250213
1289,367.5992635
1290,367.9735692
1291,368.3479384
1292,368.7223709
1293,369.0968667
1294,369.4714256
1295,369.8460476
1296,370.2207325
1297,370.5954803
1298,370.9702909
1299,371.3451642
1300,371.7201
1301,372.0950984
1302,372.4701592
1303,372.8452822
1304,373.2204675
1305,373.5957149
1306,373.9710243
1307,374.3463956
1308,374.7218288
1309,375.0973237
1310,375.4728803
1311,375.8484984
1312,376.224178
1313,376.5999189
1314,376.9757211
1315,377.3515844
1316,377.7275089
1317,378.1034943
1318,378.4795406
1319,378.8556478
1320,379.2318156
1321,379.608044
1322,379.9843329
1323,380.3606823
1324,380.737092
1325,381.1135619
1326,381.4900919
1327,381.866682
1328,382.243332
1329,382.6200419
1330,382.9968115
1331,383.3736408
1332,383.7505297
1333,384.127478
1334,384.5044858
1335,384.8815528
1336,385.258679
1337,385.6358643
1338,386.0131086
1339,386.3904118
1340,386.7677738
1341,387.1451945
1342,387.5226739
1343,387.9002118
1344,388.2778081
1345,388.6554628
1346,389.0331757
1347,389.4109467
1348,389.7887759
1349,390.1666629
1350,390.5446079
1351,390.9226106
1352,391.3006711
1353,391.6787891
1354,392.0569645
1355,392.4351974
1356,392.8134876
1357,393.191835
1358,393.5702395
1359,393.9487011
1360,394.3272195
1361,394.7057948
1362,395.0844269
1363,395.4631155
1364,395.8418607
1365,396.2206624
1366,396.5995205
1367,396.9784347
1368,397.3574052
1369,397.7364318
1370,398.1155143
1371,398.4946527
1372,398.8738469
1373,399.2530968
1374,399.6324023
1375,400.0117633
1376,400.3911798
1377,400.7706515
1378,401.1501785
1379,401.5297606
1380,401.9093977
1381,402.2890898
1382,402.6688368
1383,403.0486385
1384,403.4284948
1385,403.8084058
1386,404.1883712
1387,404.5683909
1388,404.948465
1389,405.3285932
1390,405.7087756
1391,406.0890119
1392,406.4693021
1393,406.8496462
1394,407.2300439
1395,407.6104953
1396,407.9910003
1397,408.3715586
1398,408.7521703
1399,409.1328352
1400,409.5135533
1401,409.8943244
1402,410.2751485
1403,410.6560255
1404,411.0369553
1405,411.4179377
1406,411.7989727
1407,412.1800602
1408,412.5612
1409,412.9423922
1410,413.3236366
1411,413.7049331
1412,414.0862816
1413,414.4676821
1414,414.8491344
1415,415.2306384
1416,415.612194
1417,415.9938012
1418,416.3754599
1419,416.7571698
1420,417.1389311
1421,417.5207435
1422,417.902607
1423,418.2845215
1424,418.6664869
1425,419.048503
1426,419.4305699
1427,419.8126874
1428,420.1948553
1429,420.5770737
1430,420.9593424
1431,421.3416613
1432,421.7240303
1433,422.1064494
1434,422.4889184
1435,422.8714373
1436,423.2540059
1437,423.6366242
1438,424.0192921
1439,424.4020094
1440,424.7847761
1441,425.167592
1442,425.5504572
1443,425.9333714
1444,426.3163346
1445,426.6993468
1446,427.0824077
1447,427.4655174
1448,427.8486757
1449,428.2318825
1450,428.6151377
1451,428.9984413
1452,429.3817931
1453,429.7651931
1454,430.1486411
1455,430.5321371
1456,430.9156809
1457,431.2992725
1458,431.6829118
1459,432.0665987
1460,432.450333
1461,432.8341148
1462,433.2179438
1463,433.6018201
1464,433.9857434
1465,434.3697138
